12	Addepar Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Addepar Inc	Mountain View, CA 94043	Silicon Valley	addepar.com		$50,000,100	2	Expansion	Software	Offers a financial technology platform for investment management industry.	Formation 8 Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Formation 8 Partners LP&Drill=2014-2	Valor Equity Parters L P	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Valor Equity Parters L P&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
13	Adespresso Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Adespresso Inc	San Francisco, CA 94158	Silicon Valley	adespresso.com		$800,000	2	Early Stage	IT Services	Provides software-as-a-service solution to manage Facebook advertising.	500 Startups, L.P.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=500 Startups, L.P.&Drill=2014-2	Sierra Maya Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Sierra Maya Ventures&Drill=2014-2	VegasTechFund	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=VegasTechFund&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
14	ADKM Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=ADKM Inc	New York, NY 10003	NY Metro	www.harrys.com		$10,000,000	3	Early Stage	Consumer Products and Services	ADKM, Inc. is engaged in designing and manufacturing shaving products.	Thrive Capital Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Thrive Capital Partners LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
15	AdLast Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AdLast Inc	San Francisco, CA 94107	Silicon Valley	urx.com		$12,000,000	2	Early Stage	Software	Develops product advertisements for mobile applications.	Accel Partners & Co Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Accel Partners & Co Inc&Drill=2014-2	First Round Capital	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=First Round Capital&Drill=2014-2	Google Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Google Ventures&Drill=2014-2	SV Angel II Q LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=SV Angel II Q LP&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
16	Admobilize LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Admobilize LLC	Miami Beach, FL 33139	Southeast	admobilize.com		$2,199,900	1	Early Stage	IT Services	Admobilize LLC is a United States-based big data company.	Azoic Ventures Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Azoic Ventures Inc&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
17	AdRoll Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AdRoll Inc	San Francisco, CA 94103	Silicon Valley	www.adroll.com		$70,000,100	5	Expansion	IT Services	Semantic Sugar Inc offers a retargeting marketing platform.	Accel Partners & Co Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Accel Partners & Co Inc&Drill=2014-2	Foundation Capital	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Foundation Capital&Drill=2014-2	Glenmede Trust Co NA	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Glenmede Trust Co NA&Drill=2014-2	Institutional Venture Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Institutional Venture Partners&Drill=2014-2	Merus Capital Investment	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Merus Capital Investment&Drill=2014-2	Northgate Capital LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Northgate Capital LLC&Drill=2014-2	Performance Equity Management LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Performance Equity Management LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data
18	AdsNative	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AdsNative	San Francisco, CA 94158	Silicon Valley	www.adsnative.com		$2,000,000	1	Early Stage	IT Services	AdsNative is a platform for publishers to monetize through advertising.	Foundry Group LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Foundry Group LLC&Drill=2014-2	InterWest Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=InterWest Partners LLC&Drill=2014-2	Kirshenbaum Bond & Partners LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Kirshenbaum Bond & Partners LLC&Drill=2014-2	ONSET Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=ONSET Ventures&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
19	Aduro BioTech Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aduro BioTech Inc	Berkeley, CA 94710	Silicon Valley	www.adurobiotech.com		$40,602,000	4	Later Stage	Biotechnology	Aduro BioTech, Inc. provides clinical research services.	Johnson & Johnson Development Corp	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Johnson & Johnson Development Corp&Drill=2014-2	Morningside Technologies	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Morningside Technologies&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
20	Advanced Cardiac Therapeutics Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Advanced Cardiac Therapeutics Inc	Santa Clara, CA 95054	Silicon Valley	www.actmed.net		$7,300,000	4	Expansion	Medical Devices and Equipment	Develops temperature-sensing cardiac ablation systems.	NBGI Private Equity, Ltd.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=NBGI Private Equity, Ltd.&Drill=2014-2	New Enterprise Associates, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=New Enterprise Associates, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
21	AdvanDx Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AdvanDx Inc	Woburn, MA 01801	New England	www.advandx.com		$12,000,000	6	Later Stage	Biotechnology	AdvanDx, Inc. develops in vitro diagnostic kits.	Merck Global Health Innovation Fund LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Merck Global Health Innovation Fund LLC&Drill=2014-2	SLS Invest AB	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=SLS Invest AB&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
