Mobile Name	url	url	wallpapers	ringtones	size
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6106/acer/acer-e350-liquid-gallant/	http://www.zedge.net/wallpapers/6106/acer-e350-liquid-gallant-wallpapers/	http://www.zedge.net/ringtones/6106/acer-e350-liquid-gallant-ringtones/	129 x 66 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6105/acer/acer-liquid-gallant-duo/	http://www.zedge.net/wallpapers/6105/acer-liquid-gallant-duo-wallpapers/	http://www.zedge.net/ringtones/6105/acer-liquid-gallant-duo-ringtones/	129 x 66 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6089/acer/acer-a511-iconia-tab/	http://www.zedge.net/wallpapers/6089/acer-a511-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6089/acer-a511-iconia-tab-ringtones/	260 x 175 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6088/acer/acer-a510-iconia-tab/	http://www.zedge.net/wallpapers/6088/acer-a510-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6088/acer-a510-iconia-tab-ringtones/	259 x 175 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6087/acer/acer-a210-iconia-tab/	http://www.zedge.net/wallpapers/6087/acer-a210-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6087/acer-a210-iconia-tab-ringtones/	260 x 175 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6086/acer/acer-a200-iconia-tab/	http://www.zedge.net/wallpapers/6086/acer-a200-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6086/acer-a200-iconia-tab-ringtones/	260 x 175 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6085/acer/acer-a110-iconia-tab/	http://www.zedge.net/wallpapers/6085/acer-a110-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/6085/acer-a110-iconia-tab-ringtones/	193 x 127 x 11 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-6084/acer/acer-s500-cloudmobile/	http://www.zedge.net/wallpapers/6084/acer-s500-cloudmobile-wallpapers/	http://www.zedge.net/ringtones/6084/acer-s500-cloudmobile-ringtones/	127 x 66 x 10 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5497/acer/acer-iconia-tab-a501/	http://www.zedge.net/wallpapers/5497/acer-iconia-tab-a501-wallpapers/	http://www.zedge.net/ringtones/5497/acer-iconia-tab-a501-ringtones/	260 x 177 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5496/acer/acer-iconia-tab-a500/	http://www.zedge.net/wallpapers/5496/acer-iconia-tab-a500-wallpapers/	http://www.zedge.net/ringtones/5496/acer-iconia-tab-a500-ringtones/	260 x 177 x 13 mm
